doi,q1_climate_neutrality,q1_comment,q2_region,q2_comment,q3_sector,q3_comment,q4_method,q4_comment
"10.3390/su12072740
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1016/j.jclepro.2021.128408
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1080/14693062.2017.1340257
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
,unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1016/j.apenergy.2021.117263
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1007/s12155-013-9372-x
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1109/SIEDS55548.2022.9799349
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1016/j.jclepro.2020.120420
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1111/gcbb.12014
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro..."
"10.1016/j.ecolind.2021.108199
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64065. To increase, visit https://openro..."
"10.13031/aim.202100876
",yes,,yes,,yes,,yes,
"10.3992/jgb.10.3.28
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro..."
"10.18288/1994-5124-2022-5-54-77
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63813. To increase, visit https://openro..."
"10.1016/j.jclepro.2020.121835
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro..."
"10.1016/j.egycc.2021.100050
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro..."
"10.3368/le.91.2.197
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro..."
"10.1399/NuL.2022.01.02
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro..."
"10.1016/j.enconman.2021.115081
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63472. To increase, visit https://openro..."
"10.1080/27658511.2022.2062824
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro..."
"10.1093/af/vfaa035
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro..."
"10.1016/j.wasman.2008.08.031
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro..."
"10.1016/j.tej.2021.107004
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 63226. To increase, visit https://openro..."
,yes,,yes,,yes,,yes,
"10.1016/j.techfore.2021.121255
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro..."
"10.3390/en14154404
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro..."
"10.13198/j.issn.1001-6929.2021.06.18
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro..."
"10.2139/ssrn.3817276
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro..."
"10.1016/j.apenergy.2019.01.214
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 62938. To increase, visit https://openro..."
